time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,open,high,low,close,tick_volume,spread_points,real_volume,time_basis
1778130000,1778130300,US10YR,US10YR,M5,110.82,110.82,110.82,110.82,1,3,0,MT5_PY_API_UNIX_SECONDS
1778130600,1778130900,US10YR,US10YR,M5,110.8,110.82,110.8,110.82,2,3,0,MT5_PY_API_UNIX_SECONDS
1778130900,1778131200,US10YR,US10YR,M5,110.8,110.82,110.8,110.8,7,3,0,MT5_PY_API_UNIX_SECONDS
1778131200,1778131500,US10YR,US10YR,M5,110.79,110.79,110.79,110.79,1,3,0,MT5_PY_API_UNIX_SECONDS
1778131500,1778131800,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,6,3,0,MT5_PY_API_UNIX_SECONDS
1778131800,1778132100,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,6,3,0,MT5_PY_API_UNIX_SECONDS
1778132100,1778132400,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,6,3,0,MT5_PY_API_UNIX_SECONDS
1778133900,1778134200,US10YR,US10YR,M5,110.8,110.8,110.79,110.8,5,3,0,MT5_PY_API_UNIX_SECONDS
1778134200,1778134500,US10YR,US10YR,M5,110.79,110.79,110.79,110.79,1,3,0,MT5_PY_API_UNIX_SECONDS
1778134800,1778135100,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,6,3,0,MT5_PY_API_UNIX_SECONDS
1778135100,1778135400,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,2,3,0,MT5_PY_API_UNIX_SECONDS
1778136000,1778136300,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,4,3,0,MT5_PY_API_UNIX_SECONDS
1778136300,1778136600,US10YR,US10YR,M5,110.77,110.77,110.77,110.77,1,4,0,MT5_PY_API_UNIX_SECONDS
1778137200,1778137500,US10YR,US10YR,M5,110.76,110.76,110.76,110.76,1,3,0,MT5_PY_API_UNIX_SECONDS
1778137500,1778137800,US10YR,US10YR,M5,110.77,110.77,110.77,110.77,1,4,0,MT5_PY_API_UNIX_SECONDS
1778137800,1778138100,US10YR,US10YR,M5,110.79,110.79,110.77,110.77,4,3,0,MT5_PY_API_UNIX_SECONDS
1778138100,1778138400,US10YR,US10YR,M5,110.79,110.79,110.77,110.77,4,3,0,MT5_PY_API_UNIX_SECONDS
1778138400,1778138700,US10YR,US10YR,M5,110.79,110.79,110.77,110.79,9,3,0,MT5_PY_API_UNIX_SECONDS
1778138700,1778139000,US10YR,US10YR,M5,110.77,110.77,110.77,110.77,1,4,0,MT5_PY_API_UNIX_SECONDS
1778139000,1778139300,US10YR,US10YR,M5,110.79,110.79,110.77,110.79,3,3,0,MT5_PY_API_UNIX_SECONDS
1778140500,1778140800,US10YR,US10YR,M5,110.77,110.79,110.77,110.77,3,3,0,MT5_PY_API_UNIX_SECONDS
1778140800,1778141100,US10YR,US10YR,M5,110.79,110.79,110.79,110.79,1,3,0,MT5_PY_API_UNIX_SECONDS
1778141100,1778141400,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,2,3,0,MT5_PY_API_UNIX_SECONDS
