candidate_id,split,period,trade_count,net,pf,dd_pct,calendar_trades_day,positive_period,active_period
f80b_14950,validation,2025-01,92,17.673625511467066,1.3146647713811892,0.9935481891704739,3.1724137931034484,1,1
f80b_14950,validation,2025-02,84,8.65540150155018,1.1599508196721313,1.7067738535392438,3.36,1,1
f80b_14950,validation,2025-03,116,26.694510811176386,1.3853995901639342,1.3625803737194928,4.142857142857143,1,1
f80b_14950,validation,2025-04,455,93.53546523761923,1.3391444194274686,3.41354770707851,15.689655172413794,1,1
f80b_14950,validation,2025-05,16,6.103224590618552,1.7049180327868854,0.9296772341523593,0.5517241379310345,1,1
f80b_14950,validation,2025-06,16,0.24838704729261574,1.022950819672131,1.3625803737194928,0.5714285714285714,1,1
f80b_14950,validation,2025-07,13,0.5677418223831219,1.0655737704918034,0.7132256643687924,0.43333333333333335,1,1
f80b_14950,validation,2025-08,27,-2.874192975814551,0.8524590163934427,1.706773853539255,0.9642857142857143,0,1
f80b_14950,validation,2025-09,6,-0.6387095501810112,0.8524590163934427,0.43290313956713367,0.21428571428571427,0,1
f80b_14950,oos,2025-10,94,15.419513057286583,1.263943512261787,1.9232254233228103,3.1333333333333333,1,1
f80b_14950,oos,2025-11,214,31.864509781252675,1.2374405076679003,4.382257191519716,9.304347826086957,1,1
f80b_14950,oos,2025-12,44,4.6483861707618015,1.1677336747759282,1.8061286724563048,1.4666666666666666,1,1
f80b_14950,oos,2026-01,59,0.7629030738273128,1.01950998185118,1.646451284911052,2.107142857142857,1,1
f80b_14950,oos,2026-02,185,64.3145033168379,1.637755102040816,2.0119350830701705,7.4,1,1
f80b_14950,oos,2026-03,163,28.404833051105516,1.287535919540229,1.6464512849110409,5.620689655172414,1,1
f80b_14950,oos,2026-04,51,17.77741581337147,1.6398467432950188,0.6493547093507004,4.25,1,1
f80b_11320,validation,2025-01,74,13.668384373873641,1.3009962883375659,0.8613707961469004,2.5517241379310347,1,1
f80b_11320,validation,2025-02,81,6.047337504977717,1.1140347942455673,1.7067738535392438,3.24,1,1
f80b_11320,validation,2025-03,114,25.931607737349065,1.3803278688524592,1.3625803737194928,4.071428571428571,1,1
f80b_11320,validation,2025-04,415,81.09393545805159,1.3203272829210175,3.1332251822768513,14.310344827586206,1,1
f80b_11320,validation,2025-05,13,6.4225793657090575,1.9890710382513666,0.49677409458523697,0.4482758620689655,1,1
f80b_11320,validation,2025-06,16,0.24838704729261574,1.022950819672131,1.3625803737194928,0.5714285714285714,1,1
f80b_11320,validation,2025-07,12,-1.2774191003620219,0.8524590163934427,0.7132256643687924,0.4,0,1
f80b_11320,validation,2025-08,26,-1.7919351268967252,0.9026036644165863,1.4903222837556882,0.9285714285714286,0,1
f80b_11320,validation,2025-09,6,-0.6387095501810112,0.8524590163934427,0.43290313956713367,0.21428571428571427,0,1
f80b_11320,oos,2025-10,94,15.419513057286583,1.263943512261787,1.9232254233228103,3.1333333333333333,1,1
f80b_11320,oos,2025-11,205,29.895155334861226,1.2321256371401026,4.101934666718058,8.91304347826087,1,1
f80b_11320,oos,2025-12,41,4.790321626357581,1.1867219917012446,1.5541932387738029,1.3666666666666667,1,1
f80b_11320,oos,2026-01,56,-2.0048383102904013,0.9473438956197577,2.1716124706154463,2.0,0,1
f80b_11320,oos,2026-02,177,60.837084654741304,1.6289435069699192,1.8061286724562933,7.08,1,1
f80b_11320,oos,2026-03,156,23.89838233593949,1.2497219132369293,1.6464512849110409,5.379310344827586,1,1
f80b_11320,oos,2026-04,51,17.77741581337147,1.6398467432950188,0.6493547093507004,4.25,1,1
f80b_14920,validation,2025-01,74,13.668384373873641,1.3009962883375659,0.8613707961469004,2.5517241379310347,1,1
f80b_14920,validation,2025-02,81,6.047337504977717,1.1140347942455673,1.7067738535392438,3.24,1,1
f80b_14920,validation,2025-03,114,25.931607737349065,1.3803278688524592,1.3625803737194928,4.071428571428571,1,1
f80b_14920,validation,2025-04,415,81.09393545805159,1.3203272829210175,3.1332251822768513,14.310344827586206,1,1
f80b_14920,validation,2025-05,13,6.4225793657090575,1.9890710382513666,0.49677409458523697,0.4482758620689655,1,1
f80b_14920,validation,2025-06,16,0.24838704729261574,1.022950819672131,1.3625803737194928,0.5714285714285714,1,1
f80b_14920,validation,2025-07,12,-1.2774191003620219,0.8524590163934427,0.7132256643687924,0.4,0,1
f80b_14920,validation,2025-08,26,-1.7919351268967252,0.9026036644165863,1.4903222837556882,0.9285714285714286,0,1
