attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_plain_sp,c56_plain,rate_regime,us10yr_low,31,47.2,175.21,-128.01,1.368721,1.522581,0.516129,85.64
c56_plain_sp,c56_plain,rate_regime,us10yr_mid,19,95.81,112.43,-16.62,6.764741,5.042632,0.736842,8.59
m48_bal_sp,m48_bal,rate_regime,us10yr_high,18,48.46,89.48,-41.02,2.181375,2.692222,0.611111,17.79
m48_bal_sp,m48_bal,rate_regime,us10yr_low,37,-49.71,127.33,-177.04,0.719216,-1.343514,0.486486,60.25
m48_bal_sp,m48_bal,rate_regime,us10yr_mid,16,117.44,132.09,-14.65,9.016382,7.34,0.875,8.14
m48_plain_sp,m48_plain,rate_regime,us10yr_high,18,30.08,68.2,-38.12,1.789087,1.671111,0.555556,14.43
m48_plain_sp,m48_plain,rate_regime,us10yr_low,32,50.18,174.52,-124.34,1.403571,1.568125,0.59375,52.44
m48_plain_sp,m48_plain,rate_regime,us10yr_mid,19,93.16,107.77,-14.61,7.376454,4.903158,0.789474,8.59
u42_bal_sp,u42_bal,rate_regime,us10yr_missing,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,rate_regime,us10yr_missing,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
c56_bal_sp,c56_bal,rate_change_regime,us10yr_change_down,26,-65.34,95.24,-160.58,0.5931,-2.513077,0.5,86.69
c56_bal_sp,c56_bal,rate_change_regime,us10yr_change_flat,18,60.32,110.6,-50.28,2.199682,3.351111,0.555556,24.35
c56_bal_sp,c56_bal,rate_change_regime,us10yr_change_up,26,48.26,128.12,-79.86,1.604308,1.856154,0.615385,42.6
c56_plain_sp,c56_plain,rate_change_regime,us10yr_change_down,26,2.34,88.18,-85.84,1.02726,0.09,0.461538,52.45
c56_plain_sp,c56_plain,rate_change_regime,us10yr_change_flat,17,103.75,134.14,-30.39,4.413952,6.102941,0.705882,13.02
c56_plain_sp,c56_plain,rate_change_regime,us10yr_change_up,27,59.57,134.34,-74.77,1.79671,2.206296,0.62963,48.05
m48_bal_sp,m48_bal,rate_change_regime,us10yr_change_down,29,31.94,150.71,-118.77,1.268923,1.101379,0.62069,33.69
m48_bal_sp,m48_bal,rate_change_regime,us10yr_change_flat,13,25.31,69.63,-44.32,1.571074,1.946923,0.461538,20.99
m48_bal_sp,m48_bal,rate_change_regime,us10yr_change_up,29,58.94,128.56,-69.62,1.846596,2.032414,0.655172,32.97
