record_type,feature_index,item_index,value,score_short,score_flat,score_long
cut,10,1,13.733035087585449,,,
cut,10,2,14.870629787445068,,,
cut,10,3,15.927413940429688,,,
cut,10,4,16.86882495880127,,,
cut,10,5,17.748754501342773,,,
cut,10,6,18.550086975097656,,,
cut,10,7,19.415984153747559,,,
cut,10,8,20.255419731140137,,,
cut,10,9,21.080310821533203,,,
cut,10,10,21.902093887329102,,,
cut,10,11,22.661046028137207,,,
cut,10,12,23.494884490966797,,,
cut,10,13,24.30982494354248,,,
cut,10,14,25.176734924316406,,,
cut,10,15,26.09676456451416,,,
cut,10,16,27.050048828125,,,
cut,10,17,28.14915657043457,,,
cut,10,18,29.316162109375,,,
cut,10,19,30.537898063659668,,,
cut,10,20,31.772321701049805,,,
cut,10,21,33.199947357177734,,,
cut,10,22,34.764858245849609,,,
cut,10,23,36.434902191162109,,,
cut,10,24,38.429468154907227,,,
cut,10,25,40.946100234985352,,,
cut,10,26,43.873319625854492,,,
cut,10,27,47.39445686340332,,,
cut,10,28,53.310613632202148,,,
score,10,0,,0,0,0
score,10,1,,-0.042916641163366694,0.025360298472134685,0.012028096510929585
score,10,2,,-0.042916641163366694,0.025360298472134685,0.012028096510929585
