run_id,attempt_name,split,model_id,threshold_id,runtime_trade_shape,entry_timestamp,exit_timestamp,held_m5,side,entry_score,threshold,entry_open,exit_open,net_profit,adx_14,exit_reason,claim_boundary
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-10T16:35:00Z,2025-04-10T17:15:00Z,8,long,0.019900768995,-0.000562137088,18659.68,18459.05,-20.363,12.371671676636,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-10T17:25:00Z,2025-04-10T18:05:00Z,8,long,0.035346180201,-0.000562137088,18544.18,18434.18,-11.3,20.960271835327,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-10T18:10:00Z,2025-04-10T18:50:00Z,8,long,0.023774325848,-0.000562137088,18507.93,18209.18,-30.175,18.788145065308,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-10T20:05:00Z,2025-04-10T20:45:00Z,8,long,0.040268003941,-0.000562137088,18190.68,18234.68,4.1,36.844272613525,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-10T20:50:00Z,2025-04-10T21:30:00Z,8,long,0.02371737361,-0.000562137088,18226.43,18454.18,22.475,24.300346374512,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-10T21:35:00Z,2025-04-11T16:45:00Z,8,long,0.025453090668,-0.000562137088,18400.68,18377.56,-2.612,22.194860458374,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T16:50:00Z,2025-04-11T17:30:00Z,8,long,0.045509755611,-0.000562137088,18414.18,18145.68,-27.15,17.614664077759,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T17:35:00Z,2025-04-11T18:15:00Z,8,long,0.042332977057,-0.000562137088,18260.18,18204.93,-5.825,18.831350326538,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T18:30:00Z,2025-04-11T19:10:00Z,8,long,0.035643279552,-0.000562137088,18255.18,18411.81,15.363,12.048383712769,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T19:15:00Z,2025-04-11T19:55:00Z,8,long,0.007580339909,-0.000562137088,18438.68,18605.31,16.363,18.26602935791,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T20:00:00Z,2025-04-11T20:40:00Z,8,long,0.044688850641,-0.000562137088,18577.31,18578.68,-0.163,29.623426437378,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T20:45:00Z,2025-04-11T21:25:00Z,8,long,0.03716430068,-0.000562137088,18664.68,18601.06,-6.662,23.522546768188,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-11T21:30:00Z,2025-04-14T16:40:00Z,8,long,0.006442427635,-0.000562137088,18607.06,18949.54,33.948,23.697454452515,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-14T17:05:00Z,2025-04-14T17:45:00Z,8,long,0.010693192482,-0.000562137088,18989.91,18995.66,0.275,33.417587280273,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-14T17:50:00Z,2025-04-14T18:30:00Z,8,long,0.02420604229,-0.000562137088,19010.91,18795.79,-21.812,20.329818725586,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-14T20:05:00Z,2025-04-14T20:45:00Z,8,long,0.010822832584,-0.000562137088,18680.79,18704.41,2.062,36.585262298584,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
