time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1777315200,1777315500,TSLA,TSLA.xnas,M5,Bid,366.84,367.11,366.34,366.86,508,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777315500,1777315800,TSLA,TSLA.xnas,M5,Bid,366.84,367.61,366.64,367.15,533,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777315800,1777316100,TSLA,TSLA.xnas,M5,Bid,367.15,367.68,366.95,367.15,446,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777316100,1777316400,TSLA,TSLA.xnas,M5,Bid,367.23,368.2,367.05,368.2,440,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777316400,1777316700,TSLA,TSLA.xnas,M5,Bid,368.19,369.19,367.83,369.07,610,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777316700,1777317000,TSLA,TSLA.xnas,M5,Bid,369.08,370.66,369.03,370.15,757,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777317000,1777317300,TSLA,TSLA.xnas,M5,Bid,370.12,371.37,369.8,371.26,647,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777317300,1777317600,TSLA,TSLA.xnas,M5,Bid,371.27,371.76,371.01,371.1,535,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777317600,1777317900,TSLA,TSLA.xnas,M5,Bid,371.1,371.71,370.7,370.92,518,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777317900,1777318200,TSLA,TSLA.xnas,M5,Bid,370.9,371.75,370.9,371.75,483,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777318200,1777318500,TSLA,TSLA.xnas,M5,Bid,371.71,372.67,371.3,372.37,564,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777318500,1777318800,TSLA,TSLA.xnas,M5,Bid,372.41,372.96,372.41,372.55,589,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777318800,1777319100,TSLA,TSLA.xnas,M5,Bid,372.48,373.41,372.43,372.99,567,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777319100,1777319400,TSLA,TSLA.xnas,M5,Bid,372.99,373.59,372.47,373.16,525,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777319400,1777319700,TSLA,TSLA.xnas,M5,Bid,373.17,373.54,372.97,373.48,389,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777319700,1777320000,TSLA,TSLA.xnas,M5,Bid,373.47,373.77,373.07,373.74,496,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777320000,1777320300,TSLA,TSLA.xnas,M5,Bid,373.78,374.38,373.62,374.12,592,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777320300,1777320600,TSLA,TSLA.xnas,M5,Bid,374.11,375.56,374.02,375.23,683,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777320600,1777320900,TSLA,TSLA.xnas,M5,Bid,375.21,376.24,374.81,376.17,580,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777320900,1777321200,TSLA,TSLA.xnas,M5,Bid,376.14,376.85,374.97,375.32,673,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777321200,1777321500,TSLA,TSLA.xnas,M5,Bid,375.23,377.57,374.87,377.26,613,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
