record_type,feature_index,item_index,value,score_short,score_flat,score_long
cut,5,16,0.0069061713293194771,,,
cut,5,17,0.0072776381857693195,,,
cut,5,18,0.0076505420729517937,,,
cut,5,19,0.0080736461095511913,,,
cut,5,20,0.0085170459933578968,,,
cut,5,21,0.0090170558542013168,,,
cut,5,22,0.0096068726852536201,,,
cut,5,23,0.010269089136272669,,,
cut,5,24,0.011085085105150938,,,
cut,5,25,0.01205189386382699,,,
cut,5,26,0.013298199977725744,,,
cut,5,27,0.015368250198662281,,,
cut,5,28,0.018888573162257671,,,
score,5,0,,0,0,0
score,5,1,,-0.035386165543482367,0.11059094351282733,-0.084616449432225377
score,5,2,,-0.035386165543482367,0.11059094351282733,-0.084616449432225377
score,5,3,,-0.032592226434492277,0.092071149004413572,-0.065812471493549504
score,5,4,,-0.020341647852489535,0.06467139875752205,-0.046430109643312359
score,5,5,,-0.016230695322050102,0.04994310656027201,-0.033835032917400629
score,5,6,,-0.013100362927784798,0.041253686417467565,-0.027371202691543899
score,5,7,,-0.010569590109937899,0.038254295700119165,-0.026454324680336053
score,5,8,,-0.0075684257796212436,0.032699689087071625,-0.023345791445643044
score,5,9,,-0.0066991622129424422,0.031122045439962113,-0.02250708325702799
score,5,10,,-0.0058979031028168769,0.030724537008858663,-0.0228251176062533
score,5,11,,0.0089698418480097623,0.006578370738451151,-0.012881430662389694
score,5,12,,0.009740997908152145,0.0062834981614172392,-0.013288717424045717
score,5,13,,0.015601615364960256,-0.0069589786699792476,-0.0057771489439228741
score,5,14,,0.019077263184811784,-0.01477004477010976,-0.0014411149637257835
score,5,15,,0.018944077861488957,-0.01527499367645848,-0.00084609061724898074
score,5,16,,0.018600857389823477,-0.015561772668495524,-0.00026933109240005325
score,5,17,,0.01641716458933546,-0.013193518452347876,-0.00041003898434681147
score,5,18,,0.020049678929834721,-0.022771664726460875,0.0052600400852792408
score,5,19,,0.02053844876058103,-0.026310514215362603,0.0079612925899477053
